station_name,lat,lon,station_cd,yomi,pref_cd
板橋本町,35.761339,139.705535,9930319,いたばしほんちょう,13
本蓮沼,35.768782,139.702324,9930320,もとはすぬま,13
志村坂上,35.775725,139.69538,9930321,しむらさかうえ,13
志村三丁目,35.777391,139.685937,9930322,しむらさんちょうめ,13
蓮根,35.784335,139.678993,9930323,はすね,13
西台,35.78699,139.673971,9930324,にしだい,13
高島平,35.789056,139.661216,9930325,たかしまだいら,13
新高島平,35.790189,139.654275,9930326,しんたかしまだいら,13
西高島平,35.791833,139.64594,9930327,にしたかしまだいら,13
曙橋,35.692402,139.722881,9930403,あけぼのばし,13
市ヶ谷,35.691000,139.735583,1131315,いちがや,13
岩本町,35.695534,139.775866,9930408,いわもとちょう,13
馬喰横山,35.69212,139.782768,9930409,ばくろよこやま,13
浜町,35.688516,139.788154,9930410,はまちょう,13
菊川,35.688379,139.806016,9930412,きくかわ,22
西大島,35.689349,139.826206,9930414,にしおおじま,13
大島,35.689905,139.83565,9930415,おおじま,13
東大島,35.690355,139.845963,9930416,ひがしおおじま,13
船堀,35.683795,139.864258,9930417,ふなぼり,13
一之江,35.686055,139.882934,9930418,いちのえ,13
瑞江,35.693318,139.89761,9930419,みずえ,13
篠崎,35.706017,139.903698,9930420,しのざき,13
三ノ輪橋,35.732248,139.791412,9930501,みのわばし,13
荒川一中前,35.733659,139.788988,9930502,あらかわいっちゅうまえ,13
荒川区役所前,35.73493,139.786456,9930503,あらかわくやくしょまえ,13
荒川二丁目,35.738623,139.784696,9930504,あらかわにちょうめ,13
荒川七丁目,35.741975,139.78417,9930505,あらかわななちょうめ,13
町屋駅前,35.74275,139.781145,9930506,まちやえきまえ,13
町屋二丁目,35.743837,139.776625,9930507,まちやにちょうめ,13
東尾久三丁目,35.745398,139.774386,9930508,ひがしおぐさんちょうめ,13
宮ノ前,35.750135,139.764955,9930510,みやのまえ,13
小台,35.750579,139.761779,9930511,おだい,13
荒川遊園地前,35.750744,139.757767,9930512,あらかわゆうえんちまえ,13
荒川車庫前,35.750909,139.752617,9930513,あらかわしゃこまえ,13
梶原,35.751162,139.747403,9930514,かじわら,13
王子駅前,35.752722,139.738278,9930516,おうじえきまえ,13
飛鳥山,35.750248,139.737382,9930517,あすかやま,13
滝野川一丁目,35.747374,139.735376,9930518,たきのがわいっちょうめ,13
西ヶ原四丁目,35.744501,139.732779,9930519,にしがはらよんちょうめ,13
新庚申塚,35.741348,139.730451,9930520,しんこうしんづか,13
